TIME,LABEL
0.000000000,N
0.975238095,A
2.461315193,Dm
2.972154195,E
3.808072562,Amaj7
5.154829932,D
5.712108844,E
6.548027211,Amaj7
7.941224490,D
8.405623583,E
9.287981859,A
10.031020408,D
10.681179138,Amaj7
13.421133787,D
13.885532880,E
14.767891156,Amaj7
16.161088435,D
16.625487528,E
17.507845805,Amaj7
18.854603175,D
19.319002268,E
20.154920635,A
20.897959184,D
21.594557823,Amaj7
22.941315193,G7/B
28.467664399,Amaj7
35.201451247,D
35.572970522,E
36.594648526,Amaj7
37.894965986,D
38.359365079,E
39.148843537,A
40.542040816,D
41.006439909,E
41.795918367,Amaj7
42.585396825,D
43.281995465,Amaj7
45.975510204,D
46.300589569,E7
47.322267574,Amaj7
48.669024943,D
49.133424036,E
50.062222222,Amaj7
51.362539683,D
51.826938776,E
52.709297052,Amaj7
53.405895692,D
54.102494331,Amaj7
55.402811791,D
58.049886621,Amaj7
60.789841270,D
63.390476190,B
64.783673469,D
65.294512472,E
66.269750567,Amaj7
67.616507937,D
67.988027211,E
68.963265306,Amaj7
70.310022676,D
70.727981859,E
71.703219955,Amaj7
72.957097506,D
73.421496599,E
74.164535147,Amaj7
75.000453515,D
75.697052154,Amaj7
78.437006803,D
78.854965986,E
79.830204082,Amaj7
81.130521542,D
81.594920635,E
82.291519274,Amaj7
83.870476190,D
84.334875283,E
85.170793651,Amaj7
85.867392290,D
86.563990930,A
87.910748299,D
90.650702948,Amaj7
91.997460317,D
92.415419501,Amaj7
93.251337868,D
95.944852608,B
97.384489796,D
97.848888889,E
98.777687075,Amaj7
100.217324263,D
100.588843537,E
101.610521542,A
102.957278912,D
103.328798186,E
104.257596372,Amaj7
105.604353741,D
106.115192744,E
106.951111111,A
107.694149660,D
108.344308390,Amaj7
111.037823129,D
111.502222222,E
112.384580499,A
113.777777778,D
114.195736961,E7
115.170975057,Amaj7
116.471292517,D
116.935691610,E
117.771609977,Amaj7
118.514648526,D
119.164807256,Amaj7
120.465124717,N
125.991473923,Amaj7
131.053424036,Bmaj7
133.468299320,N