FRAME,LABEL
0,N
43008,A
108544,Dm
131072,E
167936,Amaj7
227328,D
251904,E
288768,Amaj7
350208,D
370688,E
409600,A
442368,D
471040,Amaj7
591872,D
612352,E
651264,Amaj7
712704,D
733184,E
772096,Amaj7
831488,D
851968,E
888832,A
921600,D
952320,Amaj7
1011712,G7/B
1255424,Amaj7
1552384,D
1568768,E
1613824,Amaj7
1671168,D
1691648,E
1726464,A
1787904,D
1808384,E
1843200,Amaj7
1878016,D
1908736,Amaj7
2027520,D
2041856,E7
2086912,Amaj7
2146304,D
2166784,E
2207744,Amaj7
2265088,D
2285568,E
2324480,Amaj7
2355200,D
2385920,Amaj7
2443264,D
2560000,Amaj7
2680832,D
2795520,B
2856960,D
2879488,E
2922496,Amaj7
2981888,D
2998272,E
3041280,Amaj7
3100672,D
3119104,E
3162112,Amaj7
3217408,D
3237888,E
3270656,Amaj7
3307520,D
3338240,Amaj7
3459072,D
3477504,E
3520512,Amaj7
3577856,D
3598336,E
3629056,Amaj7
3698688,D
3719168,E
3756032,Amaj7
3786752,D
3817472,A
3876864,D
3997696,Amaj7
4057088,D
4075520,Amaj7
4112384,D
4231168,B
4294656,D
4315136,E
4356096,Amaj7
4419584,D
4435968,E
4481024,A
4540416,D
4556800,E
4597760,Amaj7
4657152,D
4679680,E
4716544,A
4749312,D
4777984,Amaj7
4896768,D
4917248,E
4956160,A
5017600,D
5036032,E7
5079040,Amaj7
5136384,D
5156864,E
5193728,Amaj7
5226496,D
5255168,Amaj7
5312512,N
5556224,Amaj7
5779456,Bmaj7
5885952,N